,product_name,category,price,sales_date,day_of_week,holiday,number_of_items_sold,total_revenue,sales_time,product_id,buyer_gender
0,Milk packet,Dairy,80,2022-09-01,Thursday,False,18,1440,07:58,1022,Men
1,Bread package,Bakery,55,2022-09-01,Thursday,False,8,440,12:00,1011,Men
2,Butter,Dairy,285,2022-09-01,Thursday,False,15,4275,19:56,1078,Women
3,Milk packet,Dairy,80,2022-09-01,Thursday,False,12,960,09:21,1022,Men
4,Bread package,Bakery,55,2022-09-01,Thursday,False,16,880,07:22,1011,Men
5,Jam jar,Grocery,350,2022-09-01,Thursday,False,17,5950,11:18,1091,Men
6,Jam jar,Grocery,350,2022-09-01,Thursday,False,11,3850,16:24,1091,Women
7,Butter,Dairy,285,2022-09-01,Thursday,False,7,1995,11:02,1078,Women
8,Milk packet,Dairy,80,2022-09-01,Thursday,False,10,800,09:32,1022,Women
9,Butter,Dairy,285,2022-09-01,Thursday,False,14,3990,17:46,1078,Women
10,Eggs,Dairy,134,2022-09-01,Thursday,False,11,1474,09:43,1041,Women
11,Butter,Dairy,285,2022-09-01,Thursday,False,19,5415,17:24,1078,Women
12,Milk packet,Dairy,80,2022-09-01,Thursday,False,4,320,07:39,1022,Women
13,Jam jar,Grocery,350,2022-09-01,Thursday,False,19,6650,19:24,1091,Men
14,Butter,Dairy,285,2022-09-01,Thursday,False,19,5415,07:38,1078,Men
15,Bread package,Bakery,55,2022-09-01,Thursday,False,13,715,12:28,1011,Women
16,Milk packet,Dairy,80,2022-09-01,Thursday,False,9,720,08:05,1022,Women
17,Milk packet,Dairy,80,2022-09-01,Thursday,False,8,640,09:25,1022,Men
18,Butter,Dairy,285,2022-09-01,Thursday,False,9,2565,19:20,1078,Women
19,Jam jar,Grocery,350,2022-09-01,Thursday,False,17,5950,16:58,1091,Women
20,Milk packet,Dairy,80,2022-09-01,Thursday,False,8,640,09:01,1022,Women
21,Jam jar,Grocery,350,2022-09-01,Thursday,False,17,5950,12:08,1091,Women
22,Milk packet,Dairy,80,2022-09-01,Thursday,False,13,1040,17:57,1022,Women
23,Butter,Dairy,285,2022-09-01,Thursday,False,6,1710,16:21,1078,Women
24,Bread package,Bakery,55,2022-09-01,Thursday,False,6,330,12:02,1011,Men
25,Jam jar,Grocery,350,2022-09-01,Thursday,False,2,700,11:23,1091,Women
26,Jam jar,Grocery,350,2022-09-01,Thursday,False,5,1750,08:14,1091,Women
27,Jam jar,Grocery,350,2022-09-01,Thursday,False,3,1050,12:53,1091,Men
28,Eggs,Dairy,134,2022-09-01,Thursday,False,1,134,18:58,1041,Men
29,Eggs,Dairy,134,2022-09-01,Thursday,False,18,2412,19:53,1041,Men
30,Milk packet,Dairy,80,2022-09-01,Thursday,False,4,320,08:03,1022,Men
31,Jam jar,Grocery,350,2022-09-01,Thursday,False,17,5950,19:01,1091,Men
32,Milk packet,Dairy,80,2022-09-01,Thursday,False,19,1520,12:22,1022,Men
33,Butter,Dairy,285,2022-09-01,Thursday,False,2,570,09:01,1078,Women
34,Butter,Dairy,285,2022-09-01,Thursday,False,5,1425,12:50,1078,Women
35,Butter,Dairy,285,2022-09-01,Thursday,False,5,1425,08:11,1078,Men
36,Milk packet,Dairy,80,2022-09-01,Thursday,False,6,480,07:33,1022,Men
37,Butter,Dairy,285,2022-09-01,Thursday,False,7,1995,15:06,1078,Women
38,Butter,Dairy,285,2022-09-01,Thursday,False,6,1710,15:37,1078,Women
39,Bread package,Bakery,55,2022-09-01,Thursday,False,16,880,19:33,1011,Women
40,Butter,Dairy,285,2022-09-01,Thursday,False,7,1995,07:48,1078,Men
41,Jam jar,Grocery,350,2022-09-01,Thursday,False,1,350,13:43,1091,Women
42,Butter,Dairy,285,2022-09-01,Thursday,False,6,1710,19:59,1078,Men
43,Eggs,Dairy,134,2022-09-01,Thursday,False,16,2144,10:03,1041,Men
